Height	0.5223579453279332
BMI	0.8125545441569393
MCV	0.23308733065950882
Platelet	0.7371144131191802
DBP	0.6124631128267517
SBP	0.10989228445117728
WBC	0.5154990848676925
RBC	0.3197128330914628
Hemoglobin	0.22987657392499716
Hematocrit	0.3953747122445238
MCH	0.09678708275561106
MCHC	0.3728005319232133
Lymphocyte	0.1452722332518037
Monocyte	0.5420619938124626
Neutrophil	0.24985909173585763
Eosinophil	0.18670735431752694
Basophil	0.4728483078230503
Urate	0.11765462822301338
HBA1C	0.6917060181582892
EGFR	0.8507173622596447
CRP	0.6482590697240156
Triglyceride	0.5301154559802117
HDL	0.5753938039462395
LDL	0.8811772908675322
Cholesterol	0.6202304010595256
