est_win	rho	pve	Observed_scale_h2	h2add	mae	sem_mae	h2_sem
0	0.2	0.6	0.31499900000000003	0.12	0.194999	0.0021073836021153454	0.0021073836021153454
0	0.4	0.6	0.381796	0.24	0.141796	0.0024980242374542903	0.0024980242374542903
0	0.6	0.6	0.450252	0.36	0.09025200000000001	0.0027622427134632475	0.0027622427134632475
0	0.8	0.6	0.522605	0.48	0.04399700000000001	0.00240628027411101	0.0026472365522628226
10	0.2	0.6	-0.07266	0.12	0.19265999999999997	0.004306176442687358	0.004306176442687359
10	0.4	0.6	0.10029199999999999	0.24	0.139708	0.004393035047583042	0.004393035047583042
10	0.6	0.6	0.277299	0.36	0.08385899999999999	0.003958093382200856	0.004196993030128774
10	0.8	0.6	0.43979799999999997	0.48	0.04687199999999998	0.0036783708734748704	0.004404192671864969
20	0.2	0.6	0.064215	0.12	0.057844999999999994	0.0029981813932226766	0.0033694975721743564
20	0.4	0.6	0.19996200000000003	0.24	0.04501599999999999	0.0028705522363151907	0.0035379126357474996
20	0.6	0.6	0.339734	0.36	0.03519399999999999	0.0024203734664658095	0.0037710613194096273
20	0.8	0.6	0.470839	0.48	0.031218999999999997	0.0020961724112719773	0.0036593618406503712
50	0.2	0.6	0.179735	0.12	0.059735	0.0026436301850969158	0.002643630185096916
50	0.4	0.6	0.28331700000000004	0.24	0.04473500000000001	0.0027166852109424705	0.0029396543653767847
50	0.6	0.6	0.392714	0.36	0.03620000000000001	0.00308519108652998	0.003456155691171358
50	0.8	0.6	0.49756	0.48	0.030230000000000007	0.002070115646015649	0.003225140823798759
100	0.2	0.6	0.228648	0.12	0.10864800000000001	0.0024499492800357054	0.0024499492800357063
100	0.4	0.6	0.31827	0.24	0.07827000000000002	0.002745696173058388	0.002745696173058387
100	0.6	0.6	0.41424799999999995	0.36	0.054752000000000016	0.0032695715222937002	0.003353357575669948
100	0.8	0.6	0.5089739999999999	0.48	0.03445	0.0024550054002285856	0.003087917025367677
