est_win	rho	pve	Observed_scale_h2	h2add	mse
LDSC	0.2	0.6	0.31499900000000003	0.12	0.0384642755
LDSC	0.4	0.6	0.381796	0.24	0.020723878000000005
LDSC	0.6	0.6	0.450252	0.36	0.008900792000000003
LDSC	0.8	0.6	0.522605	0.48	0.002508964300000001
MELD	0.2	0.6	0.0999845	0.12	0.014962095599999998
MELD	0.4	0.6	0.22546025	0.24	0.008468881475
MELD	0.6	0.6	0.35599875	0.36	0.004177689775
MELD	0.8	0.6	0.47929275	0.48	0.0020169267749999996
